Origen,Destino,Valor
Ávila, Gipuzkoa,4
Ávila, Girona,3
Ávila, Granada,7
Ávila, Guadalajara,27
Ávila, Huelva,4
Ávila, Huesca,4
Ávila, Jaén, 
Ávila, León,10
Ávila, Lleida,2
Ávila, Lugo,1
Ávila, Madrid,488
Ávila, Málaga,14
Ávila, Murcia,9
Ávila, Navarra,4
Ávila, Ourense,1
Ávila, Palencia,6
Ávila," Palmas, Las",4
Ávila, Pontevedra,3
Ávila," Rioja, La",2
Ávila, Salamanca,38
Ávila, Santa Cruz de Tenerife,8
Ávila, Segovia,46
Ávila, Sevilla,14
Ávila, Soria,8
Ávila, Tarragona,2
Ávila, Teruel, 
Ávila, Toledo,71
Ávila, Valencia/València,6
Ávila, Valladolid,42
Ávila, Zamora,12
Ávila, Zaragoza,2
Ávila, Ceuta,4
Ávila, Melilla,4
Badajoz, Albacete,5
Badajoz, Alicante/Alacant,44
Badajoz, Almería,15
Badajoz, Araba/Álava,4
Badajoz, Asturias,15
Badajoz, Ávila,5
Badajoz, Badajoz, 
Badajoz," Balears, Illes",71
Badajoz, Barcelona,157
Badajoz, Bizkaia,33
Badajoz, Burgos,8
Badajoz, Cáceres,288
Badajoz, Cádiz,55
Badajoz, Cantabria,21
Badajoz, Castellón/Castelló,22
Badajoz, Ciudad Real,33
Badajoz, Córdoba,83
Badajoz," Coruña, A",12
Badajoz, Cuenca,3
Badajoz, Gipuzkoa,21
Badajoz, Girona,20
Badajoz, Granada,24
Badajoz, Guadalajara,9
Badajoz, Huelva,75
Badajoz, Huesca,8
Badajoz, Jaén,38
Badajoz, León,10
Badajoz, Lleida,6
Badajoz, Lugo,6
Badajoz, Madrid,359
Badajoz, Málaga,67
Badajoz, Murcia,16
Badajoz, Navarra,15
Badajoz, Ourense,5
Badajoz, Palencia,4
Badajoz," Palmas, Las",58
Badajoz, Pontevedra,12
Badajoz," Rioja, La",6
Badajoz, Salamanca,24
Badajoz, Santa Cruz de Tenerife,23
Badajoz, Segovia,5
Badajoz, Sevilla,199
Badajoz, Soria,3
Badajoz, Tarragona,16
Badajoz, Teruel,1
Badajoz, Toledo,41
Badajoz, Valencia/València,56
Badajoz, Valladolid,23
Badajoz, Zamora,10
Badajoz, Zaragoza,20
Badajoz, Ceuta,6
Badajoz, Melilla,3
"Balears, Illes", Albacete,110
"Balears, Illes", Alicante/Alacant,424
"Balears, Illes", Almería,156
"Balears, Illes", Araba/Álava,33
"Balears, Illes", Asturias,146
"Balears, Illes", Ávila,32
"Balears, Illes", Badajoz,221
"Balears, Illes"," Balears, Illes", 
"Balears, Illes", Barcelona,1386
"Balears, Illes", Bizkaia,114
"Balears, Illes", Burgos,43
"Balears, Illes", Cáceres,87
"Balears, Illes", Cádiz,598
"Balears, Illes", Cantabria,72
"Balears, Illes", Castellón/Castelló,132
"Balears, Illes", Ciudad Real,102
"Balears, Illes", Córdoba,264
"Balears, Illes"," Coruña, A",142
"Balears, Illes", Cuenca,35
"Balears, Illes", Gipuzkoa,65
"Balears, Illes", Girona,106
"Balears, Illes", Granada,448
"Balears, Illes", Guadalajara,35
"Balears, Illes", Huelva,104
"Balears, Illes", Huesca,47
"Balears, Illes", Jaén,215
"Balears, Illes", León,87
"Balears, Illes", Lleida,71
"Balears, Illes", Lugo,30
"Balears, Illes", Madrid,1316
"Balears, Illes", Málaga,371
"Balears, Illes", Murcia,290
"Balears, Illes", Navarra,55
"Balears, Illes", Ourense,35
"Balears, Illes", Palencia,18
"Balears, Illes"," Palmas, Las",266
"Balears, Illes", Pontevedra,155
"Balears, Illes"," Rioja, La",23
"Balears, Illes", Salamanca,56
"Balears, Illes", Santa Cruz de Tenerife,199
"Balears, Illes", Segovia,16
"Balears, Illes", Sevilla,683
"Balears, Illes", Soria,12
"Balears, Illes", Tarragona,138
"Balears, Illes", Teruel,11
"Balears, Illes", Toledo,112
"Balears, Illes", Valencia/València,691
"Balears, Illes", Valladolid,64
"Balears, Illes", Zamora,12
"Balears, Illes", Zaragoza,113
"Balears, Illes", Ceuta,14
"Balears, Illes", Melilla,40
Barcelona, Albacete,117
Barcelona, Alicante/Alacant,790
Barcelona, Almería,334
Barcelona, Araba/Álava,111
Barcelona, Asturias,277
Barcelona, Ávila,31
Barcelona, Badajoz,264
Barcelona," Balears, Illes",1196
Barcelona, Barcelona, 
Barcelona, Bizkaia,292
Barcelona, Burgos,101
Barcelona, Cáceres,137
Barcelona, Cádiz,356
Barcelona, Cantabria,156
Barcelona, Castellón/Castelló,378
Barcelona, Ciudad Real,157
Barcelona, Córdoba,271
Barcelona," Coruña, A",294
Barcelona, Cuenca,66
Barcelona, Gipuzkoa,229
Barcelona, Girona,2709
Barcelona, Granada,403
Barcelona, Guadalajara,75
Barcelona, Huelva,156
Barcelona, Huesca,257
Barcelona, Jaén,217
Barcelona, León,171
Barcelona, Lleida,1083
Barcelona, Lugo,113
Barcelona, Madrid,2205
Barcelona, Málaga,620
Barcelona, Murcia,451
Barcelona, Navarra,234
Barcelona, Ourense,108
Barcelona, Palencia,35
Barcelona," Palmas, Las",350
Barcelona, Pontevedra,250
Barcelona," Rioja, La",142
Barcelona, Salamanca,140
Barcelona, Santa Cruz de Tenerife,378
Barcelona, Segovia,31
Barcelona, Sevilla,552
Barcelona, Soria,41
Barcelona, Tarragona,2752
Barcelona, Teruel,140
Barcelona, Toledo,169
Barcelona, Valencia/València,1041
Barcelona, Valladolid,129
Barcelona, Zamora,58
Barcelona, Zaragoza,505
Barcelona, Ceuta,42
Barcelona, Melilla,140
Bizkaia, Albacete,16
Bizkaia, Alicante/Alacant,93
Bizkaia, Almería,34
Bizkaia, Araba/Álava,363
Bizkaia, Asturias,84
Bizkaia, Ávila,13
Bizkaia, Badajoz,41
Bizkaia," Balears, Illes",69
Bizkaia, Barcelona,189
Bizkaia, Bizkaia, 
Bizkaia, Burgos,246
Bizkaia, Cáceres,40
Bizkaia, Cádiz,53
Bizkaia, Cantabria,623
Bizkaia, Castellón/Castelló,15
Bizkaia, Ciudad Real,18
Bizkaia, Córdoba,23
Bizkaia," Coruña, A",55
Bizkaia, Cuenca,7
Bizkaia, Gipuzkoa,530
Bizkaia, Girona,18
Bizkaia, Granada,26
Bizkaia, Guadalajara,24
Bizkaia, Huelva,16
Bizkaia, Huesca,17
Bizkaia, Jaén,19
Bizkaia, León,60
Bizkaia, Lleida,20
Bizkaia, Lugo,27
Bizkaia, Madrid,443
Bizkaia, Málaga,76
Bizkaia, Murcia,62
Bizkaia, Navarra,169
Bizkaia, Ourense,34
Bizkaia, Palencia,45
Bizkaia," Palmas, Las",65
Bizkaia, Pontevedra,37
Bizkaia," Rioja, La",113
Bizkaia, Salamanca,35
Bizkaia, Santa Cruz de Tenerife,51
Bizkaia, Segovia,5
Bizkaia, Sevilla,61
Bizkaia, Soria,13
Bizkaia, Tarragona,39
Bizkaia, Teruel,5
Bizkaia, Toledo,29
Bizkaia, Valencia/València,106
Bizkaia, Valladolid,34
Bizkaia, Zamora,29
Bizkaia, Zaragoza,74
Bizkaia, Ceuta,4
Bizkaia, Melilla,10
Burgos, Albacete,9
Burgos, Alicante/Alacant,52
Burgos, Almería,14
Burgos, Araba/Álava,163
Burgos, Asturias,40
Burgos, Ávila,17
Burgos, Badajoz,13
Burgos," Balears, Illes",22
Burgos, Barcelona,64
Burgos, Bizkaia,201
Burgos, Burgos, 
Burgos, Cáceres,16
Burgos, Cádiz,16
Burgos, Cantabria,113
Burgos, Castellón/Castelló,5
Burgos, Ciudad Real,10
Burgos, Córdoba,9
Burgos," Coruña, A",15
Burgos, Cuenca,7
Burgos, Gipuzkoa,31
Burgos, Girona,15
Burgos, Granada,18
Burgos, Guadalajara,8
Burgos, Huelva,9
Burgos, Huesca,6
Burgos, Jaén,8
Burgos, León,62
Burgos, Lleida,5
Burgos, Lugo,9
Burgos, Madrid,231
Burgos, Málaga,27
Burgos, Murcia,32
Burgos, Navarra,28
Burgos, Ourense,3
Burgos, Palencia,85
Burgos," Palmas, Las",13
Burgos, Pontevedra,16
Burgos," Rioja, La",62
Burgos, Salamanca,29
Burgos, Santa Cruz de Tenerife,15
Burgos, Segovia,27
Burgos, Sevilla,15
Burgos, Soria,39
Burgos, Tarragona,6
Burgos, Teruel,5
Burgos, Toledo,31
Burgos, Valencia/València,24
Burgos, Valladolid,109
Burgos, Zamora,34
Burgos, Zaragoza,25
Burgos, Ceuta,2
Burgos, Melilla,6
Cáceres, Albacete,4
Cáceres, Alicante/Alacant,15
Cáceres, Almería,10
Cáceres, Araba/Álava,9
Cáceres, Asturias,15
Cáceres, Ávila,20
Cáceres, Badajoz,275
Cáceres," Balears, Illes",27
Cáceres, Barcelona,96
Cáceres, Bizkaia,28
Cáceres, Burgos,11
Cáceres, Cáceres, 
Cáceres, Cádiz,41
Cáceres, Cantabria,7
Cáceres, Castellón/Castelló,9
Cáceres, Ciudad Real,22
Cáceres, Córdoba,12
Cáceres," Coruña, A",5
Cáceres, Cuenca,4
Cáceres, Gipuzkoa,29
Cáceres, Girona,14
Cáceres, Granada,18
Cáceres, Guadalajara,16
Cáceres, Huelva,29
Cáceres, Huesca,2
Cáceres, Jaén,17
Cáceres, León,6
Cáceres, Lleida,4
Cáceres, Lugo,3
Cáceres, Madrid,420
Cáceres, Málaga,37
Cáceres, Murcia,37
Cáceres, Navarra,8
Cáceres, Ourense,1
Cáceres, Palencia,2
Cáceres," Palmas, Las",21
Cáceres, Pontevedra,14
Cáceres," Rioja, La",7
Cáceres, Salamanca,89
Cáceres, Santa Cruz de Tenerife,8
Cáceres, Segovia,7
Cáceres, Sevilla,50
Cáceres, Soria,5
Cáceres, Tarragona,14
Cáceres, Teruel,6
Cáceres, Toledo,77
Cáceres, Valencia/València,24
Cáceres, Valladolid,14
Cáceres, Zamora,6
Cáceres, Zaragoza,8
Cáceres, Ceuta,3
Cáceres, Melilla,4
Cádiz, Albacete,10
Cádiz, Alicante/Alacant,68
Cádiz, Almería,67
Cádiz, Araba/Álava,16
Cádiz, Asturias,45
Cádiz, Ávila,7
Cádiz, Badajoz,64
Cádiz," Balears, Illes",204
Cádiz, Barcelona,263
Cádiz, Bizkaia,49
Cádiz, Burgos,13
Cádiz, Cáceres,32
Cádiz, Cádiz, 
Cádiz, Cantabria,25
Cádiz, Castellón/Castelló,22
Cádiz, Ciudad Real,28
Cádiz, Córdoba,151
Cádiz," Coruña, A",90
Cádiz, Cuenca,9
Cádiz, Gipuzkoa,25
Cádiz, Girona,44
Cádiz, Granada,140
Cádiz, Guadalajara,27
Cádiz, Huelva,121
Cádiz, Huesca,8
Cádiz, Jaén,74
Cádiz, León,23
Cádiz, Lleida,11
Cádiz, Lugo,15
Cádiz, Madrid,563
Cádiz, Málaga,610
Cádiz, Murcia,110
Cádiz, Navarra,43
Cádiz, Ourense,8
Cádiz, Palencia,9
Cádiz," Palmas, Las",189
Cádiz, Pontevedra,40
Cádiz," Rioja, La",14
Cádiz, Salamanca,16
Cádiz, Santa Cruz de Tenerife,83
Cádiz, Segovia,6
Cádiz, Sevilla,775
Cádiz, Soria,6
Cádiz, Tarragona,51
Cádiz, Teruel,1
Cádiz, Toledo,45
Cádiz, Valencia/València,73
Cádiz, Valladolid,33
Cádiz, Zamora,7
Cádiz, Zaragoza,38
Cádiz, Ceuta,199
Cádiz, Melilla,36
Cantabria, Albacete,9
Cantabria, Alicante/Alacant,69
Cantabria, Almería,18
Cantabria, Araba/Álava,40
Cantabria, Asturias,219
Cantabria, Ávila,15
Cantabria, Badajoz,28
Cantabria," Balears, Illes",55
Cantabria, Barcelona,133
Cantabria, Bizkaia,629
Cantabria, Burgos,113
Cantabria, Cáceres,17
Cantabria, Cádiz,43
Cantabria, Cantabria, 
Cantabria, Castellón/Castelló,4
Cantabria, Ciudad Real,13
Cantabria, Córdoba,21
Cantabria," Coruña, A",57
Cantabria, Cuenca,3
Cantabria, Gipuzkoa,65
Cantabria, Girona,16
Cantabria, Granada,23
Cantabria, Guadalajara,13
Cantabria, Huelva,12
Cantabria, Huesca,16
Cantabria, Jaén,12
Cantabria, León,54
Cantabria, Lleida,9
Cantabria, Lugo,14
Cantabria, Madrid,439
Cantabria, Málaga,54
Cantabria, Murcia,51
Cantabria, Navarra,50
Cantabria, Ourense,29
Cantabria, Palencia,91
Cantabria," Palmas, Las",63
Cantabria, Pontevedra,20
Cantabria," Rioja, La",76
Cantabria, Salamanca,33
Cantabria, Santa Cruz de Tenerife,58
Cantabria, Segovia,10
Cantabria, Sevilla,34
Cantabria, Soria,4
Cantabria, Tarragona,11
Cantabria, Teruel,2
Cantabria, Toledo,39
Cantabria, Valencia/València,48
Cantabria, Valladolid,90
Cantabria, Zamora,23
Cantabria, Zaragoza,46
Cantabria, Ceuta,3
Cantabria, Melilla,3
Castellón/Castelló, Albacete,25
Castellón/Castelló, Alicante/Alacant,134
Castellón/Castelló, Almería,38
Castellón/Castelló, Araba/Álava,5
Castellón/Castelló, Asturias,15
Castellón/Castelló, Ávila,5
Castellón/Castelló, Badajoz,5
Castellón/Castelló," Balears, Illes",74
Castellón/Castelló, Barcelona,358
Castellón/Castelló, Bizkaia,25
Castellón/Castelló, Burgos,11
Castellón/Castelló, Cáceres,14
Castellón/Castelló, Cádiz,47
Castellón/Castelló, Cantabria,14
Castellón/Castelló, Castellón/Castelló, 
Castellón/Castelló, Ciudad Real,19
Castellón/Castelló, Córdoba,37
Castellón/Castelló," Coruña, A",20
Castellón/Castelló, Cuenca,27
Castellón/Castelló, Gipuzkoa,11
Castellón/Castelló, Girona,35
Castellón/Castelló, Granada,33
Castellón/Castelló, Guadalajara,21
Castellón/Castelló, Huelva,13
Castellón/Castelló, Huesca,21
Castellón/Castelló, Jaén,42
Castellón/Castelló, León,13
Castellón/Castelló, Lleida,60
Castellón/Castelló, Lugo,5
Castellón/Castelló, Madrid,249
Castellón/Castelló, Málaga,35
Castellón/Castelló, Murcia,53
Castellón/Castelló, Navarra,25
Castellón/Castelló, Ourense,7
Castellón/Castelló, Palencia,4
Castellón/Castelló," Palmas, Las",24
Castellón/Castelló, Pontevedra,32
Castellón/Castelló," Rioja, La",15
Castellón/Castelló, Salamanca,26
Castellón/Castelló, Santa Cruz de Tenerife,22
Castellón/Castelló, Segovia,6
Castellón/Castelló, Sevilla,39
Castellón/Castelló, Soria,3
Castellón/Castelló, Tarragona,252
Castellón/Castelló, Teruel,102
Castellón/Castelló, Toledo,29
Castellón/Castelló, Valencia/València,853
Castellón/Castelló, Valladolid,15
Castellón/Castelló, Zamora,3
Castellón/Castelló, Zaragoza,97
Castellón/Castelló, Ceuta,2
Castellón/Castelló, Melilla,14
Ciudad Real, Albacete,98
Ciudad Real, Alicante/Alacant,111
Ciudad Real, Almería,31
Ciudad Real, Araba/Álava,4
Ciudad Real, Asturias,12
Ciudad Real, Ávila,6
Ciudad Real, Badajoz,49
Ciudad Real," Balears, Illes",36
Ciudad Real, Barcelona,101
Ciudad Real, Bizkaia,16
Ciudad Real, Burgos,10
Ciudad Real, Cáceres,16
Ciudad Real, Cádiz,26
Ciudad Real, Cantabria,7
Ciudad Real, Castellón/Castelló,15
Ciudad Real, Ciudad Real, 
Ciudad Real, Córdoba,70
Ciudad Real," Coruña, A",12
Ciudad Real, Cuenca,36
Ciudad Real, Gipuzkoa,5
Ciudad Real, Girona,11
Ciudad Real, Granada,44
Ciudad Real, Guadalajara,28
Ciudad Real, Huelva,19
Ciudad Real, Huesca,4
Ciudad Real, Jaén,91
Ciudad Real, León,2
Ciudad Real, Lleida,7
Ciudad Real, Lugo,6
Ciudad Real, Madrid,568
Ciudad Real, Málaga,79
Ciudad Real, Murcia,67
Ciudad Real, Navarra,9
Ciudad Real, Ourense,6
Ciudad Real, Palencia,2
Ciudad Real," Palmas, Las",16
Ciudad Real, Pontevedra,6
Ciudad Real," Rioja, La",8
Ciudad Real, Salamanca,13
Ciudad Real, Santa Cruz de Tenerife,9
Ciudad Real, Segovia,5
Ciudad Real, Sevilla,44
Ciudad Real, Soria,4
Ciudad Real, Tarragona,11
Ciudad Real, Teruel,2
Ciudad Real, Toledo,219
Ciudad Real, Valencia/València,82
Ciudad Real, Valladolid,9
Ciudad Real, Zamora,4
Ciudad Real, Zaragoza,14
Ciudad Real, Ceuta,1
Ciudad Real, Melilla, 
Córdoba, Albacete,14
Córdoba, Alicante/Alacant,46
Córdoba, Almería,48
Córdoba, Araba/Álava,6
Córdoba, Asturias,13
Córdoba, Ávila,1
Córdoba, Badajoz,75
Córdoba," Balears, Illes",88
Córdoba, Barcelona,170
Córdoba, Bizkaia,5
Córdoba, Burgos,3
Córdoba, Cáceres,25
Córdoba, Cádiz,129
Córdoba, Cantabria,5
Córdoba, Castellón/Castelló,7
Córdoba, Ciudad Real,81
Córdoba, Córdoba, 
Córdoba," Coruña, A",12
Córdoba, Cuenca,13
Córdoba, Gipuzkoa,9
Córdoba, Girona,25
Córdoba, Granada,132
Córdoba, Guadalajara,8
Córdoba, Huelva,55
Córdoba, Huesca,17
Córdoba, Jaén,164
Córdoba, León,7
Córdoba, Lleida,12
Córdoba, Lugo,3
Córdoba, Madrid,253
Córdoba, Málaga,312
Córdoba, Murcia,55
Córdoba, Navarra,6
Córdoba, Ourense,3
Córdoba, Palencia,1
Córdoba," Palmas, Las",34
Córdoba, Pontevedra,9
Córdoba," Rioja, La",5
Córdoba, Salamanca,4
Córdoba, Santa Cruz de Tenerife,25
Córdoba, Segovia,2
Córdoba, Sevilla,324
Córdoba, Soria, 
Córdoba, Tarragona,20
Córdoba, Teruel,3
Córdoba, Toledo,30
Córdoba, Valencia/València,46
Córdoba, Valladolid,8
Córdoba, Zamora,4
Córdoba, Zaragoza,18
Córdoba, Ceuta,18
Córdoba, Melilla,15
"Coruña, A", Albacete,13
"Coruña, A", Alicante/Alacant,77
"Coruña, A", Almería,27
"Coruña, A", Araba/Álava,13
"Coruña, A", Asturias,168
"Coruña, A", Ávila,3
"Coruña, A", Badajoz,20
"Coruña, A"," Balears, Illes",84
"Coruña, A", Barcelona,205
"Coruña, A", Bizkaia,88
"Coruña, A", Burgos,22
"Coruña, A", Cáceres,21
"Coruña, A", Cádiz,132
"Coruña, A", Cantabria,32
"Coruña, A", Castellón/Castelló,18
"Coruña, A", Ciudad Real,18
"Coruña, A", Córdoba,13
"Coruña, A"," Coruña, A", 
"Coruña, A", Cuenca,5
"Coruña, A", Gipuzkoa,26
"Coruña, A", Girona,23
"Coruña, A", Granada,15
"Coruña, A", Guadalajara,17
"Coruña, A", Huelva,17
"Coruña, A", Huesca,7
"Coruña, A", Jaén,20
"Coruña, A", León,105
"Coruña, A", Lleida,10
"Coruña, A", Lugo,445
"Coruña, A", Madrid,539
"Coruña, A", Málaga,64
"Coruña, A", Murcia,67
"Coruña, A", Navarra,22
"Coruña, A", Ourense,243
"Coruña, A", Palencia,11
"Coruña, A"," Palmas, Las",165
"Coruña, A", Pontevedra,727
"Coruña, A"," Rioja, La",20
"Coruña, A", Salamanca,22
"Coruña, A", Santa Cruz de Tenerife,91
"Coruña, A", Segovia,15
"Coruña, A", Sevilla,45
"Coruña, A", Soria,2
"Coruña, A", Tarragona,32
"Coruña, A", Teruel,7
"Coruña, A", Toledo,28
"Coruña, A", Valencia/València,57
"Coruña, A", Valladolid,34
"Coruña, A", Zamora,19
"Coruña, A", Zaragoza,33
"Coruña, A", Ceuta,3
"Coruña, A", Melilla,8
Cuenca, Albacete,154
Cuenca, Alicante/Alacant,44
Cuenca, Almería,12
Cuenca, Araba/Álava,1
Cuenca, Asturias,5
Cuenca, Ávila,1
Cuenca, Badajoz,2
Cuenca," Balears, Illes",19
Cuenca, Barcelona,58
Cuenca, Bizkaia,9
Cuenca, Burgos,12
Cuenca, Cáceres,8
Cuenca, Cádiz,7
Cuenca, Cantabria,3
Cuenca, Castellón/Castelló,11
Cuenca, Ciudad Real,59
Cuenca, Córdoba,17
Cuenca," Coruña, A",5
Cuenca, Cuenca, 
Cuenca, Gipuzkoa,1
Cuenca, Girona,10
Cuenca, Granada,10
Cuenca, Guadalajara,30
Cuenca, Huelva,5
Cuenca, Huesca,6
Cuenca, Jaén,15
Cuenca, León,4
Cuenca, Lleida,4
Cuenca, Lugo,2
Cuenca, Madrid,317
Cuenca, Málaga,19
Cuenca, Murcia,38
Cuenca, Navarra,11
Cuenca, Ourense, 
Cuenca, Palencia,1
Cuenca," Palmas, Las",5
Cuenca, Pontevedra,7
Cuenca," Rioja, La",2
Cuenca, Salamanca,3
Cuenca, Santa Cruz de Tenerife,3
Cuenca, Segovia,1
Cuenca, Sevilla,11
Cuenca, Soria, 
Cuenca, Tarragona,6
Cuenca, Teruel,3
Cuenca, Toledo,80
Cuenca, Valencia/València,168
Cuenca, Valladolid,2
Cuenca, Zamora,2
Cuenca, Zaragoza,7
Cuenca, Ceuta,1
Cuenca, Melilla, 
Gipuzkoa, Albacete,7
Gipuzkoa, Alicante/Alacant,63
Gipuzkoa, Almería,27
Gipuzkoa, Araba/Álava,204
Gipuzkoa, Asturias,51
Gipuzkoa, Ávila,7
Gipuzkoa, Badajoz,23
Gipuzkoa," Balears, Illes",31
Gipuzkoa, Barcelona,155
Gipuzkoa, Bizkaia,425
Gipuzkoa, Burgos,47
Gipuzkoa, Cáceres,27
Gipuzkoa, Cádiz,44
Gipuzkoa, Cantabria,62
Gipuzkoa, Castellón/Castelló,17
Gipuzkoa, Ciudad Real,15
Gipuzkoa, Córdoba,25
Gipuzkoa," Coruña, A",49
Gipuzkoa, Cuenca,7
Gipuzkoa, Gipuzkoa, 
Gipuzkoa, Girona,24
Gipuzkoa, Granada,27
Gipuzkoa, Guadalajara,6
Gipuzkoa, Huelva,8
Gipuzkoa, Huesca,19
Gipuzkoa, Jaén,11
Gipuzkoa, León,16
Gipuzkoa, Lleida,24
Gipuzkoa, Lugo,9
Gipuzkoa, Madrid,293
Gipuzkoa, Málaga,48
Gipuzkoa, Murcia,38
Gipuzkoa, Navarra,279
Gipuzkoa, Ourense,24
Gipuzkoa, Palencia,12
Gipuzkoa," Palmas, Las",42
Gipuzkoa, Pontevedra,33
Gipuzkoa," Rioja, La",77
Gipuzkoa, Salamanca,32
Gipuzkoa, Santa Cruz de Tenerife,25
Gipuzkoa, Segovia,5
Gipuzkoa, Sevilla,45
Gipuzkoa, Soria,7
Gipuzkoa, Tarragona,42
Gipuzkoa, Teruel,5
Gipuzkoa, Toledo,17
Gipuzkoa, Valencia/València,64
Gipuzkoa, Valladolid,38
Gipuzkoa, Zamora,17
Gipuzkoa, Zaragoza,66
Gipuzkoa, Ceuta,6
Gipuzkoa, Melilla,11
Girona, Albacete,13
Girona, Alicante/Alacant,113
Girona, Almería,55
